Tweet originale;Tweet dopo la pipeline Stanza;Classe target;Classe predetta;Presenza d'ironia
Dal buono-scuola alla buona scuola renziana: buone ragioni per lo sciopero <URL> #10_ottobre #quota_96 #sciopero;buono -scuola buono renziano buono ragione sciopero htag_10_ottobre htag_quota_96 htag_sciopero;0;1;1
"<MENTION_1> #labuonascuola #riformascuola  #scuola Si introduce il lavoro non retribuito per legge;  è schiavitù! Roba da pazzi!";htag_riformascuola htag_scuola introdurre lavoro retribuire_NEG legge schiavitù ! roba pazzo !;0;1;0
► La buona scuola, tra anglicismi e sillabazioni: Perplessità linguistiche sulla sintesi del governo. <URL>;► buono anglicismo sillabazione Perplessità linguistico sintesi;0;1;0
<MENTION_1>  #labuonascuola  vogliamo riforme CONCRETE per quanto riguarda l università!;volere riforma concrete riguardare università !;0;1;0
<MENTION_1> buona scuola somiglia a quella berlusconiana;buono somigliare berlusconiano;0;1;0
"<MENTION_1> <MENTION_2> <MENTION_3> Noi con #tfaordinario ai margini della #labuonascuola.Non si mortifica il merito!""";htag_tfaordinario margine mortificare_NEG merito_NEG !;0;1;0
Michele Paduano: “La buona scuola, Renzi parte con piede sbagliato” <URL>;Michele Paduano buono Renzi partire piede sbagliato;0;1;0
<MENTION_1> <MENTION_2> Ah beh allora...che buona scuola!!!Ma smettetela...;ah beh allora buono ! ! ! ma smettere;0;1;0
<MENTION_1> riforma scuola= metà parlamentari in meno;riforma metà parlamentare meno;0;1;0
"<MENTION_1> parliamo anche de #labuonascuola che in realtà è #lascuolaingiusta? aspetto notizie su quando torna a reggio ;)";parlare de realtà htag_lascuolaingiusta ? aspettare notizia quando tornare reggio;0;1;0
#MIDAperRUOLO nessuno ci da voce, altro che questionario della buona scuola!!! <MENTION_1> <MENTION_2>;htag_midaperruolo voce_NEG altro questionario buono ! ! !;0;1;0
La buona scuola: sicuri che un Esame tutto interno sia meglio? Provammo il solo Presidente esterno, non mi pare che sia stato meglio!!;buono sicuro esame interno meglio ? provare solo presidente esterno parere_NEG essere meglio ! !;0;1;0
<MENTION_1> La buona scuola non è assumere precari GaE senza servizio e ignorare abilitati con titoli e servizio #MIDAperRUOLO;buono assumere_NEG precario GaE_NEG servizio_NEG ignorare_NEG abilitato titolo servizio htag_midaperruolo;0;1;0
<MENTION_1> <URL> Aiutaci!Chi insegnerà Ed Motoria nella scuola primaria?Che continuità la buona scuola? #MIDAperRUOLO;aiutare ! insegnare Motoria primario ? continuità buono ? htag_midaperue;0;1;0
Se la consultazione sulla buona scuola è aperta dal 15 settembre, spererei fossero definiti i coordinatori dei vari progetti. Invece...;consultazione buono aprire 15 settembre sperare definire coordinatore vario progetto;0;1;0
Mi è piaciuto un video di <MENTION_1> da <MENTION_2> <URL> La buona scuola di Renzi è un pacco per gli italiani;piacere video buono Renzi pacco italiano;0;1;0
"Il testo per la riforma scolastica, la cosiddetta ""buona scuola"", zeppo di errori/orrori di ortografia ...... <URL>";testo riforma scolastico cosiddetto buono zeppo errori/orrori ortografia;0;1;0
La #buona scuola la fanno i buoni insegnanti e non i burocrati e passacarte.;htag_buona buono insegnante burocrato_NEG passacarte_NEG;0;1;0
<MENTION_1> <MENTION_2> La buona scuola non lascia fuori i docenti selezionati ed abilitati! #tfaordinario;buono lasciare_NEG fuori docente_NEG selezionare abilitare ! htag_tfaordinario;0;1;0
<MENTION_1> <MENTION_2> l'ope legis è un 'ingiustizia e annullerà anche gli altri aspetti positivi della riforma #labuonascuola;ope legis ingiustizia annullare altro aspetto positivo riforma;0;1;0
<MENTION_1> La buona scuola la fanno i buoni maestri. E deve esistere la libertà di scelta educativa delle famiglie!  <URL>;buono buono maestro dovere esistere libertà scelta educativo famiglia !;0;1;0
<MENTION_1> E il personale ATA che fine ha fatto?  Nel documento la buona scuola nessuna traccia di noi assistenti tecnici!!!;personale Ata fine fare ? documento buono nessuno traccia assistente tecnico ! ! !;0;1;0
La buona scuola di Renzi. Privatizzati nelle scuole? La legge Aprea di nuovo, insomma.;buono Renzi privatizzare scuola ? legge Aprea nuovo insomma;0;1;0
<MENTION_1> Ho 30anni e  2 insegnamento.Ho fatto #tfaordinario credendo nella vera buona scuola e sono stata tradita <URL>;30anni 2 insegnamento fare htag_tfaordinario credere vero buono essere tradire;0;1;0
"<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> #sfplm85bis #tfaordinario insieme a Palermo contro ""la buona scuola""";htag_sfplm85bis htag_tfaordinario insieme Palermo buono;0;1;0
Dopo 8,4 miliardi di tagli lineari è ancora possibile parlare di buona scuola? <URL> <MENTION_1> <MENTION_2> <MENTION_3>;dopo 8,4 miliardo taglio lineare ancora possibile parlare buono ?;0;1;0
"Questo non è un buon piano per ""La buona scuola"". Leggete... <URL>";buono piano_NEG buono leggere;0;1;0
"<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> oggi la scuola pubblica italiana vi ha contestato. La ""buona scuola""  è buona solo per voi.";oggi pubblico italiano contestare buono buono solo;0;1;0
<MENTION_1> la battaglia non può essere comune, Presidente. Sei la controparte. E #labuonascuola è ancora un miraggio.;battaglia potere essere comune_NEG presidente controparte ancora miraggio;0;1;0
<MENTION_1> <MENTION_2> ci sono 2500 scuole, senza Dirigenti Scolastici, nel caos più totale questa sarebbe la  buona scuola?;2500 scuola dirigente_NEG scolastico caos totale buono ?;0;1;0
La buona scuola'', vino nuovo in otri vecchi <URL> <URL>;buono scuola vino nuovo otro vecchio;0;1;0
"""Una buona scuola punitiva e non democratica non è una buona scuola"" <MENTION_1> Uds #sel #4ottobre <URL>";buono punitivo democratico_NEG buono Uds htag_sel htag_4ottobre;0;1;0
<MENTION_1> la buona scuola e la buona università nn si puó fare tagliando i fondi;buono buono università non potere fare tagliare fondo;0;1;0
“Non è una buona scuola”|Studenti in piazza|contro il piano di Renzi Leggi qui <URL> #bergamo;buono |Studenti piazza|contro piano Renzi leggere qui htag_bergamo;0;1;0
Aggiornamento: La buona scuola renziana: buone ragioni per lo sciopero <URL> #10_ottobre #quota_96 #sciopero;aggiornamento buono renziano buono ragione sciopero htag_10_ottobre htag_quota_96 htag_sciopero;0;1;0
<MENTION_1> La buona scuola mi sembra contraddittoria e impraticabile!;buono sembrare contraddittorio impraticabile !;0;1;0
<MENTION_1> #Quota96Scuola Cosa ne sa lei della buona scuola? Sembrerebbe niente! Siete il NULLA ASSOLUTO e ....... sono molto educata!;htag_quota96scuola cosa sapere buono ? sembrare niente ! nulla assoluto molto educato !;0;1;0
<MENTION_1> <MENTION_2> sì, qualcosa di berlusconiano (anche peggio, vedi la buona scuola);sì qualcosa berlusconiano peggio vedere buono;0;1;0
#10o tutti in piazza! spot contro la “buona scuola” verso #14n <URL> <MENTION_1> <MENTION_2> <MENTION_3>;htag_10o piazza ! spot buono verso htag_14n;0;1;0
<MENTION_1> <MENTION_2> <MENTION_3> ..si ok...e noi plurilaureati è specializzati a guardare...D.M.97..ho letto i punti de La buona scuola!;..si ok...e plurilaureato specializzato guardare esdere leggere punto de buono !;0;1;0
"Diamo il via alle assunzionigiuridiche ditutti i #vincitorisenzacattedra entro il2014,allorasì che la ""buona scuola""sarà buona <MENTION_1>";dare via assunzionigiuridia ditutti htag_vincitorisenzacattedra entro il2014 allorasì buono buono;0;1;0
"<MENTION_1> <MENTION_2> La buona scuola la fanno gli insegnanti.La ""buona scuola"" e' solo una truffa. Esempio sui  #Quota96Scuola";buono insegnante buono essere solo truffa esempio htag_quota96scuola;0;1;0
Ok alla riforma della maturità, un miliardo per la buona scuola: <URL> per #labuonascuola? Nulla di buono, purtroppo;ok riforma maturità miliardo buono ? nu buono purtroppo;0;1;0
<MENTION_1> non hanno rispettato neanche i tempi di scadenza della partecipazione degli italiani al dibattito sulla buona scuola!;rispettare_NEG tempo_NEG scadenza partecipazione italiano dibattito buono !;0;1;0
<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Nel DEF 1 mil. di tagli,altro che buona scuola!Precari ass. solo x evit.proc.di infraz.;DEF 1 mil taglio altro buono ! precario ass solo per evita procedura infraz;0;1;0
<MENTION_1> <MENTION_2> in bocca al lupo per il concorso 2015 a 40000 posti. La vostra buona scuola non merita buoni docenti!;bocca lupo concorso 2015 40000 posto buono meritare_NEG buono docente_NEG !;0;1;0
#labuonascuola una riforma distruttiva,nello spazio segnalazioni.del Piccolo odierno,grazie. mb... <URL>;riforma distruttivo spazio segnalazione piccolo odierno grazie mb...;0;1;0
Per fare un Paese migliore CI VUOLE UNA SCUOLA MIGLIORE! #ForzaPlinio #ilfuturosiamonoi #labuonascuolasiamonoi... <URL>;fare paese migliore volere migliore ! htag_forzaplinio htag_ilfuturosiamonoi htag_labuonascuolasiamonoi;0;1;0
<MENTION_1> no..no no...va benissimo...no anche alla buona scuola...cagata pazzesca;no ..no no...va bene ..no buono ..cagata pazzesco;0;1;0
<MENTION_1> <MENTION_2> <MENTION_3> #socialstrike Per la scuola: #MeglioLaLip <URL> la vera buona scuola dal 2006.;htag_socialstrike htag_megliolalip vero buono 2006;0;1;0
"proposta assemblea RSU ’I.I.S. “M. Guggenheim” di Venezia di incontro provincialecontro ""buona scuola"" di renz... <URL>";proposta assemblea RSU I.i.s. M. Guggenheim Venezia incontro provincialecontro buono renz...;0;1;0
RUN TWITTARE <MENTION_1>  <MENTION_2> #giochiamocela #no42 non ci sono buona scuola e buona università senza diritto allo studio!;RUN TWITTARE htag_giochiamo ce htag_no42 buono buono università diritto_NEG studio !;0;1;0
<MENTION_1> <MENTION_2> <MENTION_3> Una buona scuola potrebbe scaturire da buone idee e tanta buona volontà. Di entrambe non si vede traccia;buono potere scaturire buono idea tanto buono volontà entrambi vedere_NEG traccia_NEG;0;1;0
La buona scuola la farà cadere a pezzi #socialstrike;buono cadere pezzo htag_socialstrike;0;1;0
oggi in piazza a Torino contro la buona scuola di Renzi: la scuola che non ci piace!;oggi piazza Torino buono Renzi piacere_NEG !;0;1;0
"#labuonascuola: tutti che si affannano a dire la loro che poi sarà ""sintetizzata"" dai Dirigenti!! Apposto!!! Astenetevi! <MENTION_1>";htag_llabuonanaso affannare dire poi sintetizzare dirigente ! ! apposto ! ! ! astenere !;0;1;0
Una consultazione di “regime” per organizzare il plebiscito a sostegno della “buona scuola” di Renzi <URL> #lacattivascuola;consultazione regime organizzare plebiscito sostegno buono Renzi htag_lacattivascuola;0;1;0
Scuola, l’Usd: la “buona scuola” del Ministro Giannini? Incontri senza confronto <URL> <URL>;il Usd buono Giannini ? incontro confronto_NEG;0;1;0
"Contro la farsa de ""la buona scuola"",  #lascuolaèdichilavive! <URL>";farsa de buono htag_lascuola dichilavivo !;0;1;0
Il liceo Socrate di Roma esprime con forza la propria contrarietà al documento #labuonascuola;liceo Socrate Roma esprimere forza proprio contrarietà documento;0;1;0
#TFA2014 <MENTION_1> <MENTION_2> <MENTION_3> #riallinementotfacineca #sbloccotfasubito  ci state prendendo in giro dov e' la buona scuola;htag_tfa2014 htag_riallinementotfacineca htag_sbloccotfasubito essere prendere giro essere buono;0;1;0
"Alla ""Buona scuola"" noi rispondiamo con la ""Vera scuola""! #noallabuonascuola #laverascuola #sfplm85bis #";buono rispondere Vera ! htag_noallabuonascuola htag_laverascuola htag_sfplm85bis;0;1;0
Quando la scuola è buona e non è #labuonascuola  <URL> <URL>;quando buono;0;1;0
<MENTION_1> con tutto il rispetto,la buona scuola di sti caxxi! Tra 5 gg ho un concorso e ancora non so dove e a che ora! #andatealavorare;rispetto buono questo caxxi ! 5 giorno concorso ancora sapere_NEG ora ! htag_andatelteler re;0;1;0
<MENTION_1> <MENTION_2> parlate di buona scuola quando le darete soldi e indipendenza dal clero.;parlare buono quando dare soldo indipendenza clero;0;1;0
"<MENTION_1> <MENTION_2> E si parla di ""buona scuola""?";parlare buono ?;0;1;0
La buona scuola fatta da insegnanti che quotidianamente dedicano le migliori energie per il meglio non meriterebbe inquisizioni di merito;buono fare insegnante quotidianamente dedicare migliore energia meglio meritare_NEG inquisizione_NEG merito;0;1;0
#14n in tutto il paese è #scioperosociale contro il jobs act e la buona scuola.  A Roma corteo da Piazza della... <URL>;htag_14n paese htag_scioperosociale jobs act buono Roma corteo Piazza;0;1;0
<MENTION_1> <MENTION_2> Per fare una buona scuola  basta  chiacchere!  ma finanziamenti ,internet nelle scuole  attuare autonomia scolastica;fare buono bastare chiacchera ! ma finanziamento internet scuola attuare autonomia scolastico;0;1;0
"""La buona scuola Vs la scuola giusta"" <URL>";buono vs giusto;0;1;0
Le voci contrarie al documento sulla “buona scuola”: Dai licei “Pasteur” e “Mamiani” arriva una sonora bocciatura... <URL>;voce contrario documento buono liceo Pasteur Mamiani arrivare sonoro bocciatura;0;1;0
<MENTION_1>  1.000.000 di accessi al sito della buona scuola non significa 1.000.000 di consensi!!!;1.000.000 accesso sito buono significare_NEG 1.000.000_NEG consenso ! ! !;0;1;0
<MENTION_1> amore non stare male,ti porterai dietro tutti i bei momenti passati con ILE...😔❤️;amore stare_NEG male portare_NEG dietro bello momento passare ILE... faccina_pensieros cuore_rosso;0;1;0
